Year,Region,SE humpback,Humpbacks Sighted,Avg Fish,Avg Zoop,Fish:Zoop Ratio,Whale SE,Fish SE,Zoop SE
2004,EAST,551.6,73,19.45,360,2.27,40.8044115262,28.5832118559,18.973665961
2005,EAST,176.5,47,18.04,659,2.02,27.8208554865,36.5376518129,25.670995306
2006,,,,,,,,,
2007,EAST (summer),135.1,247,129.86,2505,0.36,30.2489669245,30.2324329157,50.049975025
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,
2011,,,,,,,,,
2012,EAST,131.5,70,30.18,277,0.36,23.4733891886,9.9498743711,16.6433169771
2013,EAST,305.3,0,264.78,51,41.47,31.6543835827,45.9891291503,7.1414284285
2014,EAST ,219.5,74,103.83,1134,0.56,27.2396769438,25.1197133742,33.674916481
